Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis01,3.3787E-05,9.1444E-05,0.10184,0,0,0,9.0986,0.042064,9.4834E-07,1.2779E-05,0.029515,-2.2044E-07,0.041462,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/pelvis01.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/pelvis01.STL,,00_body_lower-1;00_body_upper-1;Pelvis-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_pitch_roll02,0.0029125,-0.11124,0.00014497,0,0,0,0.71543,0.0012992,9.0829E-06,-1.2575E-06,0.00081934,-2.6807E-05,0.0007511,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_hip_pitch_roll02.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_hip_pitch_roll02.STL,,r_hip_roll-1,pelvis_link,hip_pitch_axis,r_hip_pitch,revolute,0.0003,0.00010009,-0.076,0,0,0,pelvis01,0,1,0,60,20,-1.5,1.5,,,,,,,,
r_hip_roll_yaw03,-0.0018025,-0.00019987,-0.082792,0,0,0,0.81942,0.0012023,-1.1207E-05,5.5281E-05,0.00145,1.1536E-05,0.0014121,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_hip_roll_yaw03.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_hip_roll_yaw03.STL,,r_hip_yaw-1,r_hip_link,r_hip_roll_axis,r_hip_roll,revolute,0,-0.1162,0,0,0,0,r_hip_pitch_roll02,1,0,0,60,20,0,-3.14,,,,,,,,
r_thigh04,-0.0070978,-0.0076869,-0.079659,0,0,0,1.1731,0.0035472,3.616E-05,-0.00013649,0.0037115,-9.6553E-05,0.0022279,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_thigh04.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_thigh04.STL,,r_thigh-1,r_thigh_link,r_hip_yaw_axis,r_hip_yaw,revolute,0,0,-0.13575,0,0,0,r_hip_roll_yaw03,0,0,1,60,20,-1.5,1.5,,,,,,,,
r_calf,0.030096,0.001789,-0.081976,0,0,0,1.0639,0.0015501,1.2163E-05,1.0043E-05,0.0018579,-3.9107E-05,0.00079017,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_calf.STL,,r_calf-1,r_knee_link,r_knee_pitch_axis,r_knee_pitch,revolute,-0.029792,0.00015,-0.166,0,0,0,r_thigh04,0,1,0,120,20,0,1.5,,,,,,,,
r_ankle_pitch,0.0026368,1.0778E-09,-0.023214,0,0,0,0.3836,0.000175,7.4738E-11,4.7125E-06,0.00071261,-8.775E-12,0.00083869,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_ankle_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_ankle_pitch.STL,,r_foot-3,r_ankle_link,r_ankle_pitch_axis,r_ankle_pitch,revolute,0.03,0.00065,-0.268,0,0,0,r_calf,0,1,0,34,43,-0.5,0.5,,,,,,,,
r_ankle_roll,0.0026368,1.0778E-09,-0.023214,0,0,0,0.3836,0.000175,7.4738E-11,4.7125E-06,0.00071261,-8.775E-12,0.00083869,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_ankle_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/r_ankle_roll.STL,,r_foot-3,r_ankle_link,r_ankle_roll_axis,r_ankle_roll,revolute,0.03,0.00065,-0.268,0,0,0,r_calf,1,0,0,34,43,-0.35,0.35,,,,,,,,
l_hip_pitch_roll02,0.0042731,0.11306,0.00018534,0,0,0,0.71543,0.0016964,-9.7538E-06,-1.5252E-06,0.0010993,2.2671E-05,0.0010434,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_hip_pitch_roll02.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_hip_pitch_roll02.STL,,l-hip_roll-1,pelvis_link,hip_pitch_axis,l_hip_pitch,revolute,0.0003,0.00010009,-0.076,0,0,0,pelvis01,0,1,0,60,20,-1.5,1.5,,,,,,,,
l_hip_roll_yaw03,-0.0017856,0.00042742,-0.082793,0,0,0,0.81941,0.0012017,4.4083E-06,5.4473E-05,0.0014506,-1.2749E-05,0.0014121,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_hip_roll_yaw03.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_hip_roll_yaw03.STL,,l_hip_yaw-1,l_hip_link,l_hip_roll_axis,l_hip_roll,revolute,0,0.1162,0,0,0,0,l_hip_pitch_roll02,1,0,0,60,20,0,3.14,,,,,,,,
l_thigh04,-0.0070981,0.007687,-0.079659,0,0,0,1.1731,0.0035473,-3.6159E-05,-0.00013656,0.0037116,9.6536E-05,0.0022279,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_thigh04.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_thigh04.STL,,l_thigh-1,l_thigh_link,l_hip_yaw_axis,l_hip_yaw,revolute,0,0,-0.13575,0,0,0,l_hip_roll_yaw03,0,0,1,60,20,-1.5,1.5,,,,,,,,
l_calf,0.030096,-0.0017899,-0.081975,0,0,0,1.0639,0.0015501,-1.215E-05,1.0043E-05,0.0018579,3.9122E-05,0.00079017,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_calf.STL,,l_calf-1,l_knee_link,l_knee_pitch_axis,l_knee_pitch,revolute,-0.029792,-0.00015,-0.166,0,0,0,l_thigh04,0,1,0,120,20,0,1.5,,,,,,,,
l_ankle_pitch,0.0026368,1.0732E-09,-0.023214,0,0,0,0.3836,0.000175,7.473E-11,4.7125E-06,0.00071261,-8.7544E-12,0.00083869,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_ankle_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_ankle_pitch.STL,,l_foot-4,l_ankle_link,l_ankle_pitch_axis,l_ankle_pitch,revolute,0.03,0.00065,-0.268,0,0,0,l_calf,0,1,0,34,43,-0.5,0.5,,,,,,,,
l_ankle_roll,0.0026368,1.0732E-09,-0.023214,0,0,0,0.3836,0.000175,7.473E-11,4.7125E-06,0.00071261,-8.7544E-12,0.00083869,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_ankle_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://QUB_visual_URDF/meshes/l_ankle_roll.STL,,l_foot-4,l_ankle_link,l_ankle_roll_axis,l_ankle_roll,revolute,0.03,0.00065,-0.268,0,0,0,l_calf,1,0,0,34,43,-0.35,0.35,,,,,,,,
